,machine,work,consumption
0,АГС-1Ш,Уборка МВСП,16.3425
1,АДМ-1.3,Работа мотовоза,37.5
2,АС-01,Работа мотовоза,14.84375
3,АСГ-30П,Работа мотовоза,38.77019969278034
4,АСГ-30П,Уборка МВСП,25.24264640709086
5,ВПО-3000,Выправка пути,0.06408888888888889
6,ДСП-С4,Работа ДСП,0.1239450879233385
7,ДСП-С4,"Работа ДСП, СПП",0.08833333333333333
8,ДСП-С6,Работа ДСП,0.04893621753937846
9,ДУОМАТИК 09-32 GSM,Работа ДУОМАТИК,0.7188695919478307
10,ДУОМАТИК 09-32 GSM,"Работа комплекса машин (ДУОМАТИК, ПМА, УНИМАТ, ДИНАМИК)",0.06017399657634032
11,Динамик-подбив экспресс 09-3Х,"Работа комплекса машин (ДУОМАТИК, ПМА, УНИМАТ, ДИНАМИК)",0.4786501893939394
12,МПТ-4,Работа мотовоза,18.72142155707441
13,МПТ-4,Уборка МВСП,18.42169059251715
14,МПТ-6,Уборка МВСП,3.81111111111111
15,МПТ-6.4,Работа мотовоза,23.49606227106227
16,МПТ-6.4,Уборка МВСП,5.873363634739591
17,МПТ-6Д,Уборка МВСП,16.28300762165331
18,ПМА-1,Работа ПМА,0.1117715389185978
19,ПМА-1,"Работа комплекса машин (ДУОМАТИК, ПМА, УНИМАТ, ДИНАМИК)",0.03043333333333333
20,ПМА-1М,Работа ПМА,0.09063054653679653
21,ПМА-1М,"Работа комплекса машин (ДУОМАТИК, ПМА, УНИМАТ, ДИНАМИК)",0.151
22,ПМГ,Работа гайковерта,0.0833
23,ПМГ-1М,Работа гайковерта,0.11
24,ПРЛ-4,Уборка МВСП,13.34642857142857
25,ПРСМ-4,Работа ПРСМ,87.6
26,РПБ-01,Планировка балласта,0.203
27,РПБ-01,Работа РПБ,2.564610531398977
28,СМ-2Б,Работа СМ,0.03
29,СПП-16,"Работа ДСП, СПП",0.017
30,СС-1М,Работа СТРУГ,1.081105085661832
31,СЧ-600,Глубокая очистка щебня,1.11
32,УК 25/9-18,Укладка плетей,1.318
33,УК-25СП,Демонтаж стрелочного перевода,106.6
34,УПК,Сбор рельсов,64.67999999999999
35,Унимат 08-275/3S,Выправка стрелочного перевода,137.375
36,Унимат 08-275/3S,"Выправка стрелочного перевода (ВПРС, ПУМА, УНИМАТ)",295.9722222222222
37,Унимат 08-275/3S,Работа УНИМАТ,54.5307329251622
38,Унимат 08-275/3S,"Работа комплекса машин (ДУОМАТИК, ПМА, УНИМАТ, ДИНАМИК)",2.22375
39,ЩОМ-1200,Глубокая очистка щебня,0.4352
40,ЩОМ-1200М,Глубокая очистка щебня,1.872257575757575
41,ЩОМ-1600Т,Глубокая очистка щебня,1.273333333333333
42,ЩОМ-700,Глубокая очистка щебня,0.1
43,ЭЛБ-1,Работа ЭЛБ,0.7849999999999999
44,ЭЛБ-3,Планировка балласта,0.525
45,ЭЛБ-4,Вторичная подъёмка пути,1.088888888888889
46,ЭЛБ-4,Работа ЭЛБ,1.862857142857143
